ADJUVANT	COUNTY_NAME	COUNTY_CODE	SUM_LBS_CHEMICAL	SUM_LBS_PRODUCT
YES	ORANGE	30	N/A	1558.8755
NO	PLACER	31	222734.08592151	445009.012200000000000000000000000000001
YES	PLACER	31	N/A	47000.0633
NO	PLUMAS	32	8442.76914239	18339.8944
YES	PLUMAS	32	N/A	6144.7585
NO	RIVERSIDE	33	2717667.1365270091	5505177.37205000000000000000000000000002
YES	RIVERSIDE	33	N/A	249247.3405
NO	SACRAMENTO	34	3818919.1199003002	4891517.8658000000000000000000000000001
YES	SACRAMENTO	34	N/A	299926.2521
NO	SAN BENITO	35	606882.836616555	1040400.532
YES	SAN BENITO	35	N/A	81975.5175
NO	SAN BERNARDINO	36	71572.804554945	126510.296899999999999999999999999999998
YES	SAN BERNARDINO	36	N/A	9520.3447
NO	SAN DIEGO	37	524877.1605673004	1046462.35188333333333333333333333333338
YES	SAN DIEGO	37	N/A	22285.5481
NO	SAN FRANCISCO	38	116.315439406	755.8369
YES	SAN FRANCISCO	38	N/A	.4182
NO	SAN JOAQUIN	39	12428059.9026876254	17236131.4418166666666666666666666666667
YES	SAN JOAQUIN	39	N/A	1816571.6211
NO	SAN LUIS OBISPO	40	2631554.6511346925	3968779.63833333333333333333333333333337
YES	SAN LUIS OBISPO	40	N/A	322573.9455
NO	SAN MATEO	41	59083.74605644	113308.559349999999999999999999999999997
YES	SAN MATEO	41	N/A	1389.8122
NO	SANTA BARBARA	42	5128473.0412149019	7353416.14277500000000000000000000000024
YES	SANTA BARBARA	42	N/A	469209.926
NO	SANTA CLARA	43	355941.98139083885	612797.42729
YES	SANTA CLARA	43	N/A	38524.2571
NO	SANTA CRUZ	44	1216890.8877025778	1631431.597
YES	SANTA CRUZ	44	N/A	48731.4196
NO	SHASTA	45	199280.693321617	326986.7668
YES	SHASTA	45	N/A	80773.5145
NO	SIERRA	46	2809.72912069	6296.701
YES	SIERRA	46	N/A	2345.8452
NO	SISKIYOU	47	1263788.59917388	1534882.55625
YES	SISKIYOU	47	N/A	60620.6779
NO	SOLANO	48	1092924.175118333	2011170.28735000000000000000000000000001
YES	SOLANO	48	N/A	242421.2069
NO	SONOMA	49	2450533.4432799943	3054836.90840000000000000000000000000001
YES	SONOMA	49	N/A	188137.7956
NO	STANISLAUS	50	7076412.720181554	11593645.2620249999999999999999999999998
YES	STANISLAUS	50	N/A	1144983.1198
NO	SUTTER	51	2733833.98441336	5851523.53934999999999999999999999999996
YES	SUTTER	51	N/A	595876.6509
NO	TEHAMA	52	1118110.25968086	1834866.13445
YES	TEHAMA	52	N/A	301679.4331
NO	TRINITY	53	20501.6498639	47666.4136
YES	TRINITY	53	N/A	18390.1607
NO	TULARE	54	14964214.960954159	21801147.7783500000000000000000000000011
YES	TULARE	54	N/A	4938012.8467
NO	TUOLUMNE	55	26404.96586448	50760.9767
YES	TUOLUMNE	55	N/A	12364.0183
NO	VENTURA	56	5381727.24192032075	7556219.53710000000000000000000000000004
YES	VENTURA	56	N/A	271872.8755
NO	YOLO	57	3358522.966379295	5340881.67809999999999999999999999999991
YES	YOLO	57	N/A	500291.1542
NO	YUBA	58	1058956.32011029	2113075.55569999999999999999999999999998
YES	YUBA	58	N/A	206369.3888
